line_id,carrier_ids,route_ids,route_label
L1,"{51-0,51-1}","{51,51B,51G,51H}","Rádio Marconi - Zedequias Manganhela"
L2,"{51-2}","{51I,51J}","Mafuiane - Zedequias Manganhela"
L3,"{51-3,51-4,51-5,51-6,51-7,51-8,51-9,51-10,51-11}","{51K,51L,51M,51N,51O,51P,51Q,51R,51S,51T,51U,51V,51W,51X,51C,51D,51E,51F}","Boane - Zedequias Manganhela"
L4,"{5-0,5-1,5-2,5-3}","{5,5B,5C,5D,5E,5F,5G,5H}","Mozal - Zedequias Manganhela"
L5,"{47-0,47-1,47-2}","{47,47B,47C,47D,47E,47F}","Albert Lithule - Tchumene"
L6,"{11-0,11-1}","{11,11B,11C,11D}","Albert Lithule - Michafutene"
L7,"{39-0,39-1,39-2}","{39,39B,39C,39D,39E,39F}","Albert Lithule - Zimpeto"
L8,"{37-0,37-1,37-2}","{37,37B,37C,37D,37E,37F}","Museu - Zimpeto"
L9,"{53-0,53-1}","{53,53B,53C,53D}","Albasine - Guerra Popular"
L10,"{17-0,17-1}","{17,17B,17C,17D}","Praça dos Trabalhadores - Zimpeto"
L11,"{20-0}","{20,20B}","Albert Lithule - Matendene"
L12,"{21-0}","{21,21B}","Albasine - Museu"
L13,"{1-0}","{1,1B}","Anjo Voador - Chamissava"
L14,"{1-4}","{1C,1D}","Anjo Voador - Zona 5"
L15,"{1-6}","{1G,1H}","Ponta do Ouro - Zimpeto"
L16,"{1-5}","{1E,1F}","Junta - Ponta do Ouro"
L17,"{16-2}","{16,16B}","Manhiça - Praça dos Trabalhadores"